time,author,messsage
35:37:00,Victoria Eshelby,more slurp!
35:39:00,Gigi I,LOTS OF SLURP
35:40:00,Frippe,low to medium slurp
35:40:00,Albert C.,all the slurp
35:41:00,Ulas Onal,what exactly are we rasing money for??
35:41:00,MegaRockcool,Max power
35:41:00,Sameea Zia,HAHHAHAHAHAHAHAHAHAH
35:42:00,Fabio Bollinger,MEDIUM
35:42:00,Ben Doolan,:hundred_points::collision::hundred_points:
35:43:00,Kc Cortez,severe slurp
35:43:00,Jonathan Rees,A niche is a strong motivator!
35:43:00,Monika B.,That's medium????
35:44:00,Samira El,loud
35:44:00,tacodias,FULL SLURP
35:45:00,aj,maximum slurp
35:45:00,RasmusBruun,ALL THE SLURP
35:45:00,AR R,full slurp!
35:47:00,Ben Crossland,That is medium :face_with_tears_of_joy:
35:47:00,Charles Reynolds,Loads of slurp
35:47:00,mrsootypooty,loud sluuurrrp
35:47:00,Aidan Reidel,full slurp!!!
35:47:00,sabin1001,FULL SLURP
35:47:00,joon park,YAAAAAAAS
35:47:00,Luke Richese,all the slurp :grinning_squinting_face:
35:47:00,alkhyphenali,full on slurp please
35:48:00,Karlo E. Meléndez Peña,Is there going to be an after-video?
35:48:00,IronicTager,MAXX SLURP
35:48:00,earth13,SUPER SLURP.
35:48:00,Blake Singleton,"Ear busting levels of slurp, please."
35:48:00,Maryam,he calls that a medium LOL
35:49:00,Sameea Zia,HELL YESSSSSSS
35:49:00,r j,Hard one please
35:49:00,holleaaron,THAT WAS MEDIUM?!?!?
35:50:00,Liam UK,Maximum slurp!
35:50:00,PostScript31,The echo is so nice
35:50:00,Joseph Christian Singson,ALL THE SLURP
35:50:00,Kyle La Hara,lots slurp
35:50:00,Timu DreamChaser,my dog woke up from that super slurp lol !!!
35:50:00,smellysiac ellysiac,loud slurp
35:51:00,Robin Smith,SLURP!!!
35:51:00,Michael Montano,MORE
35:51:00,Sheldon Wong,all the sluorrps
35:52:00,Paul Gill,is D the winner???
35:53:00,joon park,SLLUUURRRRRRRRRPPPPP
35:53:00,Gigi I,LOUDER
35:53:00,MoonlightBuilds CY,medium//!??!?!
35:53:00,Jamin Kidd,RIP HEADPHONE USERS
35:53:00,EDtbh,All the slurp please. MAXIMUM SLURP!
35:54:00,DirkHH,the real lurp
35:54:00,暗闇雀 - suzume,medium slurp
35:54:00,bigsmiley,Sluuurrrppppp
35:55:00,nullableVoid*,ECHO SLURP
35:55:00,"Yes, Darlin'?",I love that :grinning_squinting_face:
35:55:00,Michael Grauvogl,lots of slurp
35:56:00,Charles Reynolds,Maximum slurp
35:56:00,Toby Henderson,massive slurp!
35:56:00,Ben Hiltunen,maximum slurp
35:57:00,smellysiac ellysiac,biggest slurp
35:57:00,Tim Jegård,maximum slurp; send it to the moon jimmy!
35:57:00,IronicTager,SLURP to 11
35:57:00,Karol C.,way to go!
35:57:00,Deia,Amazing
35:58:00,Ross Elias,what is his maximum slurp my god
35:58:00,Kimball Strong,sluuuuuuurp
35:58:00,Michael Montano,NOT LOUT ENOUGH
35:59:00,Ben Crossland,All of the soubd
35:59:00,pieandcheese,FULL SCHLURP
35:59:00,Shane Curran,SLURP DOGGY DOG
36:00:00,GovVision,SLUUUURRRRRPPP
36:00:00,nullableVoid*,REVERB SLURP
36:01:00,Jiang disciple,We want BIG SLURP please!!
36:01:00,Y.J. Yoon,nice lung functioning!!!
36:01:00,Andrew Thomas Estrada,ALL THE SLURP. MIC IN YOUR MOUTH
36:01:00,joon park,lol
36:02:00,Johannes,maximum slurp!
36:02:00,Albert C.,whistle slurp needed
36:02:00,HereMattWas,M A X I M U M S L U R P
36:02:00,Sameea Zia,WHISTLES AND NONSENSE PLEASE
36:02:00,KarToon,MOREEEEEEEEEEE
36:02:00,schnoedel,BIG SLURPS :grinning_face:
36:03:00,Maximilian,hit the whistle note
36:03:00,anonymous06593,:
36:03:00,Aidan Reidel,LETS GOOO
36:04:00,Mr Crapsalot,DO THE THING
36:04:00,Buddah,Whistle
36:04:00,smellysiac ellysiac,yes loudest slurps
36:05:00,Jordan,Medium is good
36:05:00,Chilech2,nonsense required
36:06:00,Mr Crapsalot,THE
36:06:00,KNUR Konesur,sluuuurp
36:06:00,Joseph Christian Singson,MAXIMUM SLURP
36:06:00,Neil Hutch,MAXIMUM SLURP
36:06:00,Kc Cortez,whistle slurp!
36:06:00,KarToon,MAx slurp
36:07:00,Fabio Bollinger,at least 1 nonsense
36:07:00,SHOGUN 6,give it all the way boy
36:07:00,Tommy de bruin,BIG SLURP
36:07:00,Blank,THE BEEEEG SLURP
36:07:00,Victoria Eshelby,"on a scale of 1-100, I want a 120 slurp"
36:07:00,John Doyle,"""I know you like a slurp!: hahhaha"
36:08:00,EmC_98,max slurp!!
36:08:00,Nate Thoreson,The Spoon Whisperer!!!
36:08:00,EDtbh,Bells and whistles slurp
36:08:00,KarToon,max
36:09:00,Glaciersfordays,get that slurp
36:09:00,Emil Uvalic,vissle!
36:09:00,MrHappy,MAXIMUM SLURP!
36:09:00,Joshua,MASSIVE
36:09:00,Rob Sol,did someone say nonsense
36:09:00,Stingray,wwwwhistleeeeee
36:09:00,Darryl Loandy,The gulp is better than the slurp
36:09:00,Spanish John,WORLDS LARGEST COFFEE SLURPING
36:09:00,Harisson,"""pretty sensible"""
36:11:00,r j,Go Hard or go home
36:11:00,Reece Lyons,The Law vs the shotgun from last year has made the slurping more intense haha
36:11:00,Skippity Blippity,FULL SLURP!!
36:11:00,firedjj,super slurp
36:12:00,Kaecyus,Heavy ASMR slurp. Like a jet!
36:13:00,Angel Rodriguez,s l u r p
36:13:00,JamstaUK,>>>>>>>>>>>>
36:13:00,Febi Rusdian,yes i like the sound ...
36:14:00,Michael Montano,WHY ARE YOU GETTING QUIETER
36:14:00,PostScript31,"I like these slurps, but they need more cowbell."
36:14:00,Arion Valera,WAAAAW
36:14:00,rocco4696,SLURPS GONE TO PLAID
36:14:00,Halea Rodrigues,give us them whistles
36:15:00,r j,Mooooore slurping
36:16:00,Johannes Laudi,MAXIMUM
36:16:00,Jasper Anderson,Big Sluuurp
36:16:00,Balázs Bartha,big slurp from E!:grinning_face_with_sweat:
36:17:00,Surfandsandmegs,SLURP
36:17:00,Carol Nichols OR Goulding,aaaaaaa
36:17:00,Dana_Hach,Teach us the slurp ways!
36:17:00,Aaron D,WHISTLES
36:18:00,Mohammed Al-Otaibi,over 9000 slurp PLX
36:18:00,Arion Valera,WATASLUUURP
36:18:00,Michael Montano,LOUDER JAMES
36:18:00,Michael Liu,GIVE ME THE S L U R P P
36:18:00,smellysiac ellysiac,slurp level 10000 go
36:18:00,Emil Uvalic,whistle surp
36:18:00,Jiang disciple,I love the whistle slurp!
36:19:00,Matthew Ho,whistle's and nons
36:19:00,Sameea Zia,HQHAHAHAJAGKQHA
36:19:00,Joshua Fenton,All the slurps
36:19:00,William,Hail us a Taxi with that slurp!
36:19:00,Riley H,SHWOOOOOP
36:19:00,manwholikestosing,whistle slurp FTW
36:20:00,Burhan Hamid,#weslurphard
36:21:00,r j,yes
36:21:00,Zebbo Leppo,MAXIMUM SLURP
36:21:00,Yudi Joe,eeee
36:21:00,Joe1729,BIG S H L U U R P
36:21:00,Chris Bonifazi,slurpy slurp
36:21:00,Scott Mucaro,slurp slurp slurp slurp!
36:22:00,Qin,Slurrrrppppp
36:22:00,Richard Larby,rip my eardrums again!
36:22:00,pieandcheese,YES
36:22:00,Charkue,When do I remove the foam again?
36:23:00,joon park,MOOOOOAAARRRRRRRR
36:23:00,IKI,What a coincidence brewed a filter coffee launched youtube and voila coffee tasting :beaming_face_with_smiling_eyes:
36:23:00,Maryam,hahahahahaaha
36:23:00,Gamze Yılmaz,ahahahahah
36:23:00,Mohan Kumar,full slurpp
36:23:00,steve ryan,Hahahanah
36:24:00,Jared Smart,LOL
36:24:00,Eugene Soh,damn
36:24:00,Methiri,my days
36:24:00,Ross Elias,MY EARS
36:24:00,Đorđe Gajanin,Lol
36:24:00,smellysiac ellysiac,hehehh he'll yeah
36:25:00,Luis Felipe Sanchez,Slurp!!!!!!!
36:25:00,SHOGUN 6,YEESS
36:25:00,Alexander Pahos,GIVE US MAXIMUM SLUP!!!!!!!
36:25:00,r j,Niceeeeeeeee
36:25:00,sabin1001,YES!
36:25:00,Y.J. Yoon,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
36:26:00,Rob Sol,my God these are amazing slurps
36:26:00,Frippe,My laptop speakers gonna break
36:26:00,Marija Šļare,whistles pleaseeeee!
36:26:00,Daniel Szabó,Beautiful room reverb on the slurp!
36:26:00,Knight of Ren,AUUGH
36:27:00,MoonlightBuilds CY,damn
36:27:00,M.F. Ü.,he has to change the spoon
36:27:00,Jamin Kidd,AAAHHHHHHHHHH
36:28:00,Sameea Zia,I CANNOT BREATHE MY LUNGSSSS
36:28:00,Dif,HELL YEAH
36:29:00,Matthew Ho,woot
36:29:00,Death caps,NUDD
36:29:00,pokedia28,OOOOOOOF
36:29:00,Jiang disciple,It’s so cool!
36:29:00,bigsmiley,Jesus
36:29:00,Ulas Onal,this is getting really desturbing lmfao
36:30:00,暗闇雀 - suzume,omygods
36:32:00,pear7777,:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:
36:32:00,Brent Cusher,YES!!
36:32:00,Joseph Christian Singson,EEEEE
36:32:00,Arion Valera,WHISTLE PLS
36:32:00,Berry Dickson,I love the reverberation of James slurp
36:32:00,Ask Jentoft,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
36:33:00,暗闇雀 - suzume,LOOOOL
36:33:00,AmmarFPS,:face_with_tears_of_joy:
36:33:00,Daniel Szabó,Beautiful room reverb on the slurp!
36:34:00,bigsmiley,That slurp
36:34:00,Josh Manley,no the pain in my ears
36:35:00,P H,GOD-LIKE
36:35:00,Maryam,اذني انفجررت:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
36:35:00,AridTag,i was not prepared for the full slurp
36:36:00,Michael Murphy,Is it possible to buy a kit still?
36:37:00,Meg,*SLURP INTENSIFIES*
36:37:00,earth13,B I G S L U R P
36:38:00,Peter Derpson,my poor speakers
36:38:00,Neil,ear drum bursting slurps
36:38:00,Fabio Bollinger,the slurp hurt my toung :(
36:38:00,Maelrawn,BEAUTIFULLL
36:39:00,OCJane 714,:face_with_tears_of_joy:
36:39:00,Sameea Zia,IMAGINE A BRITISH PASTY GUY SLURPING
36:39:00,Diego Effio,dolphin slurp
36:39:00,Mohan Kumar,need those speakers to blow out
36:39:00,Roger Ma,my dog freaked loool
36:40:00,V Flournoy,I love the tasting spoon. So cool.
36:41:00,bigsmiley,DAT SLURP THO
36:41:00,Nikki Murphy,woohoo!! slurp!!
36:42:00,Corey McKeegan,not the piercing slupr
36:42:00,Halea Rodrigues,It's a good sound I think :face_with_tears_of_joy:
36:43:00,Brendan Twamley,whistle!!!!!
36:43:00,Kc Cortez,"whistle slurp is status, got it"
36:43:00,Brett Fuller,my 4yo just gave the computer a dirty look after that slurp
36:44:00,Sameea Zia,AND THE WORLD DYING
36:44:00,Gigi I,whistle slurp
36:45:00,Jack Chong,nice
36:46:00,ensayoYflor,"this is the ""swirl the numbers"" moment :D"
36:46:00,pokedia28,MORE SLURP
36:46:00,Dan Hayes,"I don't like D, love E"
36:46:00,Daniel Mounter,Sounds awful
36:46:00,Spanish John,HAHHAHA
36:47:00,Eric Gero,SLORRRP
36:48:00,Oliver Merry,shlurp
36:48:00,beamoflaser,LOL
36:48:00,Spanish John,SLURP
36:48:00,cultrev,"""I know you like the slurp"" james talking dirty to me on a saturday morning :flushed_face:"
36:49:00,DarkCloud,dayum
36:49:00,Josh Manley,its too early in my house for the extra slurps
36:49:00,Victoria Eshelby,"""e is supermarket coffee"""
36:50:00,Oliver Merry,Oh my hahahaha
36:50:00,brewlessordinary brewlessordinary,"Slurping my own cup, missed the order , sadly !"
36:50:00,HanesGaz,:red_heart: :red_heart: :red_heart:
36:51:00,Rob Rittenhouse,everyone wants the shleurp!
36:51:00,Daniel Gould,Louder!
36:51:00,random2361,JESUS
36:52:00,r j,That is greaaatttt
36:52:00,A J,wow that is annoying
36:52:00,Joseph Christian Singson,I could listen to this all day
36:52:00,Arion Valera,AGAAAAIN!
36:53:00,Jacob Timms,y cat freaked out
36:53:00,Mars Sambo,"the supreme slurp, James. We want the Supreme Slurp."
36:53:00,Josh Butts,THATS INSANE
36:53:00,Gigi I,feels like I'm getting whipped with slurps
36:56:00,Spanish John,THAT SLURP SOUNDS LIKE A MILK STEAMER
36:56:00,Butella Mokossa,Please dont do that
36:57:00,Sahil Gulati,Sonic boom
36:57:00,Legilis,Almost like whistle
36:57:00,Johannes Laudi,HOWW DID YOU DO THAT?!?!?!?
36:57:00,Drkhidhir,Whistle it babyyyy
36:58:00,_ jo _,on headphones and full slurp hurts my ear!
36:58:00,Darryl Loandy,The gulps :face_with_tears_of_joy:
36:59:00,Dana_Hach,Does this mean you can slurp ramen very well?
36:59:00,KP Canada,Slurp daddy
37:00:00,Sameea Zia,HOW DID WE BULLY HIM INTO DOING THIS
37:00:00,Mtha Ndlovu,:dothefive:
37:01:00,Adam,bloody hell
37:01:00,Berry Dickson,need an IR of the slurp reverb
37:01:00,Gautham Kumar,asmr slurp supercut when??
37:02:00,A J,شفط نص المصنع ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه:face_with_tears_of_joy::red_heart:
37:02:00,neil rajah,2 slurps per bowl?
37:03:00,GLASSFILM,LIKE A DAMN SQEAKING BIRD
37:03:00,Denis Rozimovschii,i feel like he is slurping my soul
37:04:00,Toby,James: “it doesn’t make you any better than anyone else” Scott Rao: “it does”
37:04:00,manwholikestosing,that slurp was very poggers
37:04:00,Jack Savva,Is your roastery available to visit to buy coffee?
37:05:00,Ralph Saunders,Omg e
37:06:00,Stephen Bakasa,:skull::skull:Good slurp
37:06:00,Death caps,Like a windbreaker jacket zipper pulled by a tractor
37:07:00,AmmarFPS,louder
37:08:00,Fabio Bollinger,These are all enjoyable so far!
37:08:00,Gino Sanchez,YESSSS
37:08:00,Melanie M,The big slurps are making my bird freak out!
37:09:00,XTR,sounds like a steamwand
37:09:00,Eric Thomas,James you should make an onlyfans with you slurping
37:11:00,Cliff Novak,Who is doing the slurp supercut?
37:11:00,Sameea Zia,poor james
37:12:00,Tara Keels,making a coffee to enjoy as I watch :smiling_face_with_smiling_eyes:
37:12:00,jonathan kee,HOW YOU SLEEP AT NIGHT???
37:12:00,Samira El,keep the sluuuurps coming
37:12:00,Pol C,SLURPSMR
37:13:00,Oliver Merry,the whole building heard that
37:14:00,Space,"You know what they say about big slurpers, right?"
37:16:00,Dirty Soul Monkey,"cupping, slurping, grinding... what kind of video am I watching :grinning_face_with_smiling_eyes:"
37:16:00,Ernie Wu,the chat goes crazy every single time James slurps
37:16:00,Jen Placido,"You're right James, I pity the headphone users. :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:"
37:17:00,Teppei Misue,daaamn i effing want some coffee right now
37:17:00,Shauleen,E is a joke oh dear...
37:17:00,Leon Todd,THUUUUWIIIP
37:18:00,Sunflower Girl,Shhhhhllluuuuurrrppppppppppp!!!!!!
37:18:00,Adam,sounds like a Whip boi
37:19:00,vern blanco,super slurp
37:20:00,Canaan Smith,I feel bad but I’m not trying e more than once :skull:
37:21:00,Valentin Olpp,I can’t get e of my tastebuds
37:21:00,jafizzle95,Slurp hard for me coffeedaddy
37:22:00,Garth,e is terrible... XD
37:24:00,Yudi Joe,"now, question, different slurp noise/pitch, different taste perception? :grinning_face_with_sweat:"
37:25:00,Lady OtheFarm,big slurp energy
37:26:00,Eric Gero,SLURP TECHNIQUE
37:27:00,tommihommi1,am I allowed to leave out E after the first taste?
37:27:00,MoonlightBuilds CY,jesus christ E
37:28:00,Viviantye,a bit of slurping can relief tensions
37:28:00,Jiang disciple,I’ve never been so impressed by a random mouth noise before. I love that
37:29:00,Lazarus,Now I can imagine is a rook full of insecure coffee people aggressively trying to put-slurp each other like tennis players grunting
37:29:00,LorionBlutkind,can somebody make a ringtone out of that slurps?
37:29:00,Harry Bizzle,MAXIMUM SLURP
37:38:00,Colin Maynard,Great slurp...the dogs are bring the sheep in!
37:38:00,Jack Savva,Is your roastery available to visit and buy coffee??
37:39:00,pixiedustshines,E is like plain popcorn\
37:39:00,Jonah Rosenberg,"Would you say that color is important? I'm brewing in clear glasses because that's what I had, and I know there's a lot of focus on color in wine-tasting."
37:40:00,Hadi,slurp hard im disconected
37:43:00,Chris Moultrie,oh my god i ate E so much
37:43:00,Karolos Gakidis,I could make some cool impulse responses if the room with those slurps
37:44:00,Alex Bryant,loud slurping
37:45:00,Jasper Anderson,I think slurp sound also depends on spoon shape and angle from spoon to tongue.
37:51:00,Canaan Smith,I’m glad others feel the same about e
37:53:00,murray hanvey,Am I the only one that likes E?
37:57:00,Eric Frauel,in for 50$
38:00:00,Bilaal Ismail,D is so earthy
38:00:00,D Leewigh,I like how the lesbians in the chat want to learn that SLURP
38:02:00,Jaffro,"haha I know exactly what E is. I'm out, it's a competition between the other 4."
38:04:00,Pol C,ASlurpMR
38:05:00,LordBugbug,james seems more nervous here than he did when he won the barista championship
38:06:00,Alex Bryant,tasted A!
38:06:00,Mirrodin,"After tasting E, Im setting it aside."
38:06:00,r j,شفط ام المصنع من جد بس مولع سسسسه
38:07:00,Orek,That has to be the best sound I've heard all year.
38:08:00,Bilaal Ismail,i hate E
38:08:00,Dache12,A and B are interesting
38:09:00,ElliotEndures,Strong dislike for E.
38:10:00,The Trim Tab,@Alex Bryant just mute him!
38:12:00,Andrew Thomas Estrada,E was weird. I kinda oddly like it.
38:12:00,Ella F-W,"do you have any suggestions for getting in a tasting kinda zone, tapping into your palette better and gaging the flavour profiles?"
38:14:00,Mr Crapsalot,hydro homies represent
38:15:00,Dana_Hach,Stop posting spoilers.
38:17:00,Jack Savva,Is your roastery available to visit and buy coffee?
38:19:00,Jeeheon Cho,"no more e, can't do it anymore"
38:19:00,kem,the ultimate slurping technique
38:23:00,G Donaldson,Vodka in the glass
38:24:00,Sean Merrigan,I don’t even want to try E anymore
38:24:00,Sameea Zia,glad i stayed up till 12am for this
38:26:00,DancingSpacePotato,D is my fave so far. E is... hard to describe without my whisky sommelier coming out
38:29:00,KNUR Konesur,hydro!
38:29:00,Matt O'Donnell,E has now destroyed my taste buds
38:30:00,Victoria Eshelby,"Regarding to E, my partner wrote"" I'm done with this one"" and he wants to see Hoffmans facial reactions to E"
38:31:00,Brew,Remember to hydrate
38:35:00,Dave,what do i need to do to join the giveaway?
38:36:00,Zachary Quinn,I bet E was dry processed.
38:37:00,lucidzero1,I think the slurping is great. My wife insists you are sonically assaulting her.
38:38:00,Adam,HE DID IT AGAIN
38:38:00,Łukasz Szłapa,can I skip E on 2nd run? :winking_face:
38:39:00,Gamze Yılmaz,d is my fav
38:41:00,Ritchie Odak,the SLUUUUUUUUUUURP!!!
38:42:00,bigsmiley,75% DONATIONS! By 500. If another 200 donate it will probably be done! You guys rock
38:42:00,Phil Kan,Still waiting for the coiol down
38:45:00,HanesGaz,Greetings from Czech Republic!
38:45:00,Gamze Yılmaz,e is not standable
38:45:00,JamstaUK,E is a citrusy Ethiopian
38:46:00,Benny,Hydro homies represent
38:46:00,r j,I love it maaaan
38:48:00,Halea Rodrigues,This is like the opposite of ASMR and I am here for it
38:50:00,Jake Meaker,D tho
38:51:00,Glenn Lalogan,:grinning_face_with_smiling_eyes::grinning_squinting_face::face_with_tears_of_joy: that’s a slurp
38:53:00,brewlessordinary brewlessordinary,Hi to all here !
38:58:00,Ronin_AJ,HELLO FROM INDIA SIR!!!
38:59:00,chrisgoatpher,hello from the Philippines!
39:01:00,Lee Houston,can i go brush my teeth after E
39:04:00,Rahimi Roslan,Hello from BRUNEI!
39:05:00,ben06 Reig,i hate D
39:06:00,Robie Ocampo,My beans didnt arrive :(
39:07:00,RandomSynr,Hello from Singapore
39:07:00,Harris Razali,Hello from Malaysia
39:07:00,Dache12,D is funky
39:08:00,William Humphreys-Cloutier,E is soooo weird.
39:09:00,Build 2 Last,Hello from Indonesia
39:09:00,anh d,How many pets have run out of the room when they hear the slurp? :slightly_smiling_face:
39:09:00,dudemalem,mine hasnt come yet :loudly_crying_face::loudly_crying_face::loudly_crying_face: i could only imagine the taste
39:11:00,David Darnes,I slurped too hard :face_with_tears_of_joy:
39:12:00,Teppei Misue,is the giveaway international?
39:12:00,Jack Savva,is your roastery available to visit and buy coffee??
39:12:00,Frank Fan,Any singaporeans here? :grinning_face:
39:14:00,m m,hello from portugal!
39:14:00,Steele Farnsworth,do I have my cups mixed up? everyone seems to hate E but D is the one I can't stand
39:15:00,UserWill,hi from Malaysia!
39:15:00,Andy W,how about from Indonesia?
39:15:00,Harry T Dyer,loving D
39:16:00,Monica C,Hello from Tokyo!
39:17:00,Valentin Olpp,Oh I got a Espresso from India which I love as a nut and chocolate forward espresso
39:17:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43?
39:18:00,Surfandsandmegs,how long after break?
39:18:00,Grant Adamson,Any suggestions on where to buy great green beans for home roasting?
39:19:00,Dr.ibra,hello from Saudi arabia
39:19:00,Nicholas McCreath,my coffee didn't arrive!!!!!!!
39:21:00,Dana_Hach,Hello from Dubai!
39:21:00,A J,stop with the slurping slurp gently u r professional
39:22:00,Jen Placido,Hi from the Philippines!
39:22:00,Ted Fortier,"since we're on more exotic origins, what have you thought about chinese coffees?"
39:23:00,Ivan Hieronimus,helloo from Indonesia James!
39:23:00,John Corredor,hi from boston
39:23:00,nobody910,how is liberico coffee in Malaysia ?
39:23:00,Sameea Zia,SYDNEY AUSTRALIA SHOUT US AUSSIES OUT FOR BEING UP AT 12:30AM
39:23:00,Paul Ryan Acorda,watching from Philippines
39:24:00,Peter Arnold,ASMR Awesome Slurping Man Returns
39:25:00,shallowmellow,Hello from Korea!
39:25:00,Wren Fernandes,Hello from Dublin! P.S E is trash
39:25:00,Jeremy K,Have you tried Malaysian coffee?
39:25:00,Lady OtheFarm,we got 10k
39:26:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43?
39:26:00,kamikaze,D is so bad
39:27:00,m m,Hello from Portugal!
39:27:00,Sun Don't Shine Designs,Do you ever eat whole beans?
39:27:00,Diego Effio,Brazil
39:28:00,Wyman Sung,so ramen and coffee tasting is pro slurping
39:28:00,Maja Pangilinan,hello from the Philippines!
39:29:00,I'M NOT A BARISTA,Who is not a barista here
39:29:00,Dave Lowry,Pretty please give us another whistle slurp James!
39:29:00,Frank Fan,MALAYSIA! HELLO
39:29:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43?
39:29:00,Y.J. Yoon,From South Korea!!!
39:30:00,MAKANI CORE,Hello from Mexico
39:30:00,Mark Johnson,"I get mushroom on e. Is that crazy? Feels crazy,"
39:30:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43?
39:32:00,Sayali Marathe,​what's your favourite chain coffee store in the uk?
39:32:00,pp design,hello form Bangkok Thailand
39:33:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43?
39:34:00,jarne evens,Hello from Belgium
39:34:00,Reece Lyons,D is beautiful
39:34:00,Singyee Toh,Is anyone else watching it without the tasting kit?
39:34:00,MackerelCat,I had a very good indian brewed really well in the chemex
39:35:00,Dana_Hach,BUCKBEAK
39:36:00,Harry T Dyer,e is like a horrible robusta...
39:37:00,Mr Crapsalot,@Frank Fan you catching any sleep tonight?
39:38:00,Blake Singleton,Donate to name the griffin!
39:39:00,JV Tamayo,Hello from the Philippines!
39:40:00,Hilly_Billy,INDIAN COFFEE OP
39:41:00,Doctor Colossus,"Kindly recommend for us your preferred coffee, cigar/tobacco, scotch combinations"
39:41:00,lokiofspirit,"Hello from Singapore, the tap water here is really soft because of reverse osmosis, was it ok of me to just add third wave to that?"
39:41:00,Rob Rittenhouse,miles
39:41:00,Sun Don't Shine Designs,Name him Slurp
39:42:00,Bang Sw,Hello from Indonesia
39:43:00,Johann Villmann,James! Have you had coffee from puerh regions?
39:43:00,Phill C,Hello from New Jersey
39:44:00,Hillary,Love D because it's fruity. Also love E because it's weird in a great way!
39:46:00,Flovely,hello from the Philippines!
39:47:00,dudemalem,hello from indonesia
39:47:00,joltuk,d is super nice
39:48:00,danumihardja,Indonesia
39:48:00,Sayali Marathe,​what's your favourite chain coffee store in the uk?
39:48:00,Phil Middleton,Gary the Griffin
39:48:00,Harry T Dyer,I love Filipino coffee! go Bo's!
39:52:00,Assidik Rere,hello from indonesia
39:52:00,Jahleel Parcon,hi from Phillipines
39:52:00,jarne evens,Hello is Tom in the chat
39:53:00,Charkue,Do you remove the foam right after breaking?
39:53:00,Nicholas McCreath,what about everyone who's coffee didn't arrive?
39:53:00,Gaurav Pratap J.B Rana,Do you know about Mustang Coffee from Nepal.
39:53:00,Jack Savva,Is your roastery available to visit and buy coffee?
39:54:00,Arnaud Pascal,Have you tried Laurina variety ? Cultivated in Reunion or ffrench caribeans ?
39:54:00,Sayali Marathe,​what's your favourite chain coffee store in the uk?
39:54:00,funfanz,hello from Singapore
39:54:00,Branchy,hello from the Philippines! have you tasted philippine coffees? any comments on it? :)
39:54:00,MackerelCat,robusta
39:55:00,Zachary Quinn,yeah I'm not tasting but just looking at the chat I bet d and e are dry processed.
39:55:00,smellysiac ellysiac,Hello from Australia. does the UK have any good ausy beans. my fav brand is blacklist and get them all the time.
39:56:00,Raven,I have strong feelings against e
39:56:00,Mirrodin,Are they supose to be sour?
39:56:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43? Judging the distribution
39:58:00,The Trim Tab,@Frank Fan hello
39:58:00,Ross Elias,Let's call the gryphon slurpy!
39:58:00,michalis9,Can I just buy Coffee D please??
39:58:00,pear7777,james..
39:58:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43? Judging the distribution
39:59:00,cameronbatko,A tastes like bell peppers
40:00:00,Patrick Carter,Name the griffin!
40:00:00,Timea Farkas,name the Griffin!
40:00:00,Muhammad Hamza Khan,hello from Pakistan. Is it ok if all the grind sinks?
40:01:00,Sayali Marathe,​what's your favourite chain coffee store in the uk?
40:01:00,XxRaSaCkXx,what is your top 3 supricingly good coffee?
40:01:00,ecstaticducklin,BUCKBEAK!
40:01:00,Sun Don't Shine Designs,NAME IT SLURP
40:01:00,Nikita Parmar,Almost went down the wrong pipe. Living ON THE EDGE!
40:02:00,J Nattress,Chester the Griffin
40:03:00,MoonlightBuilds CY,la griffa
40:03:00,Joseph Lipworth,My dog barks when you slurp lol
40:03:00,manwholikestosing,EL GRIFFO VERY POGGERS
40:04:00,x plsl x,OPINIONS ON YEMENI COFFEE??
40:04:00,JV Tamayo,his names is James :grinning_face:
40:04:00,A J,Griffy
40:04:00,Emre Erbek,hello from istanbul
40:04:00,Eric Hilgendorf,la griffa
40:05:00,Cindy Perez,Can you brew the grind size sample
40:05:00,ScopedDawg,What grinder did you use for the sample packets for grind size? An EK43? Judging the distribution
40:05:00,Charkue,Then wait 10 minutes after removing the foam?
40:06:00,Radityo WG,Indonesia :index_pointing_up:
40:06:00,Leon Todd,Slurps the Griffon
40:08:00,Darryl Loandy,What’s the black spoon?
40:08:00,Tom Gabriels,Hello Jakner
40:09:00,Joshua Brandt,"Hello from Michigan! Have you tried many coffees from North or South Kivu, DRC?"
40:09:00,Sayali Marathe,​what's your favourite chain coffee store in the uk?
40:10:00,RasmusBruun,"D is amazing, makes E even the more bad"
40:10:00,no,greetings from Belgium
40:11:00,DancingSpacePotato,Cheeky Beaky the Griffin
40:11:00,Mark Roberts,WHAT’S THE STORY OF BEHIND “SQUARE MILE” NAME
